product_url,product_name,price,product_category,product_availability,product_brand,image_url,currency,shipping_cost,estimated_fee,ASIN,review,review_count,sales_rank,dimension,weight,ships_from,sold_by,seller
https://www.amazon.com/dp/B08M3B35KL,"[2021 VERSION] ZeeHoo 15W Fast Wireless Car Charger,Auto-Clamping Car Mount&Built-in Cooling Fan,Windshield Dash Air Vent Phone Holder Compatible For iPhone 12/Mini/11/Pro Max/XS/XR/X/8,Samsung S10/S9",$45.99,"Cell Phones & Accessories,Accessories,Chargers & Power Adapters,Automobile Chargers",In Stock.,ZEEHOO,https://images-na.ssl-images-amazon.com/images/I/811Agtns%2BpL._AC_SL1500_.jpg,$,$11.10,$5.52,B08M3B35KL,"75 ratings
4.3 out of 5 stars",75 ratings,"#3,553",7.99 x 7.68 x 3.54 inches,15.5 ounces,Amazon,ZeeHoo USA,AEJVEFBZ809K5
https://www.amazon.com/dp/B08N44PNN4,"ESACLM Glowing Case for iPhone 12, iPhone 12 Pro LED Logo Light UP Incoming Call Flash Cover Cute 3D Avocado Pattern Protective Cover Anti-Scratch Tempered Glass Back Case,Pink,iPhone 12 Pro Max",$38.52,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",Only 19 left in stock - order soon.,ESACLM,https://images-na.ssl-images-amazon.com/images/I/61b2ExPA7eL._AC_SL1500_.jpg,$,,No Import Fee,B08N44PNN4,"1 rating
5.0 out of 5 stars",1 rating,"#210,787",,,Nimuil,Nimuil,A3TIHKYSWQ0NPL
https://www.amazon.com/dp/B08KRMMGDB,"Leather Snap on Case Compatible with iPhone 12 Pro Max (6.7""), Purple Handmade Leather Back Cover Case",$31.99,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",Only 6 left in stock - order soon.,Le Marche,https://images-na.ssl-images-amazon.com/images/I/915JBVcdVwL._AC_SL1500_.jpg,$,$8.81,$2.31,B08KRMMGDB,,,"#282,963",7.68 x 5.12 x 1.46 inches,5.6 ounces,Amazon,Le Marche Leather,A2ECHKLHEJR03H
https://www.amazon.com/dp/B08QW68G9J,"RANVOO Clear Case Compatible with iPhone 12 Pro Max/iPhone 12/iPhone 12 Pro Case with 2 Screen Protectors, Protective Shockproof Cover with Soft TPU Bumper and Transparent Hard PC Back (6.1/6.7 inch)",,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases","Currently unavailable.
We don't know when or if this item will be back in stock.",RANVOO,https://images-na.ssl-images-amazon.com/images/I/61r6EZcfrFL._AC_SL1200_.jpg,,,No Import Fee,,,,"#334,999",,,,,
https://www.amazon.com/dp/B08LP2F794,"Sonix Starry Night Case + Clear Case for iPhone 12 Pro Max, 10ft Drop Tested, Antimicrobial [2-Pack] Case Bundle",$49.99,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,Sonix,https://images-na.ssl-images-amazon.com/images/I/71XgCaVh-oL._AC_SL1500_.jpg,$,,No Import Fee,,"1 rating
5.0 out of 5 stars",1 rating,"#261,694",,,Amazon,SONIX / BONDIR,A2YCCGO1MNK25W
https://www.amazon.com/dp/B08KY5XKP7,Prodigee Case For Apple iPhone 12 Pro Max - Smoke |Superstar Series | 6 ft. Military Grade Drop Tested | Wireless Charging Compatible | Dual Layer Protection | Scratch Resistant | Shockproof- 6.7 inch,,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",Available from these sellers.,Prodigee,https://images-na.ssl-images-amazon.com/images/I/61CAo8KeugL._AC_SL1000_.jpg,,,No Import Fee,B08KY5XKP7,,,"#243,361",7 x 4 x 0.6 inches,3.98 ounces,,,
https://www.amazon.com/dp/B08LP1DBMS,"Sonix Pink Pearl Tort Case + Clear Case for iPhone 12 Pro Max, 10ft Drop Tested, Antimicrobial [2-Pack] Case Bundle",,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases","Currently unavailable.
We don't know when or if this item will be back in stock.",Sonix,https://images-na.ssl-images-amazon.com/images/I/71xNH1N1jCL._AC_SL1500_.jpg,,,No Import Fee,,"1 rating
3.0 out of 5 stars",1 rating,"#163,401",,,,,
https://www.amazon.com/dp/B08PNPGK2J,"Moshi Altra Wrist Strap Case + iVisor AG Matte Screen Protector Compatible with 6.7"" iPhone 12 Pro Max Bundle, Beige",,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases","Currently unavailable.
We don't know when or if this item will be back in stock.",Moshi,https://images-na.ssl-images-amazon.com/images/I/71MosrvKqYL._AC_SL1500_.jpg,,,No Import Fee,,,,"#262,762",,,,,
https://www.amazon.com/dp/B08QVD36JL,"Wireless Mag-Safe Charger, Fast-Charging Compatible with iPhone 12 Mini/12 Pro/12 Pro Max/SE 2/11 Series, AirPods Pro",$39.98,"Cell Phones & Accessories,Accessories,Chargers & Power Adapters,Wireless Chargers",In Stock.,Lemail wig,,$,$8.51,$4.80,B08QVD36JL,"5,092 ratings
4.5 out of 5 stars","5,092 ratings","#37,053",6.18 x 3.35 x 1.3 inches,4.2 ounces,Amazon,WNSSC,A2YCP3KWMH3F2I
https://www.amazon.com/dp/B07Z13C2MM,Twelve South SurfacePad for iPhone 11 Pro Max | Ultra-Slim Luxury napa Leather Cover + Display Stand with Sleep/Wake (Cognac),$49.99,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Flip Cases",Only 11 left in stock (more on the way).,Twelve South,https://images-na.ssl-images-amazon.com/images/I/71Vcu56eorL._AC_SL1500_.jpg,$,$8.43,$4.68,B07Z13C2MM,"4 ratings
4.7 out of 5 stars",4 ratings,"#208,778",6.22 x 0.7 x 3.06 inches,3.52 ounces,Amazon.com,Amazon.com,
https://www.amazon.com/dp/B07V258RB5,"OtterBox Strada Via, Sleek, Soft-Touch Protective Folio for iPhone 11 - Black Night (77-62885)",$30.90,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,OtterBox,https://images-na.ssl-images-amazon.com/images/I/71tv2n9aRJL._AC_SL1500_.jpg,$,$12.21,$0.00,B07V258RB5,"319 ratings
4.1 out of 5 stars",319 ratings,"#63,883",7.5 x 4.8 x 0.8 inches,7 ounces,Amazon Global Store UK,Amazon Global Store UK,AP3VA1GJZM3EQ
